"doi";"color_green_only";"color";"issn";"journal";"publisher";"publication_date_unpaywall"
"10.1037/hea0000680";"bronze";"green";"1930-7810,0278-6133";"Health Psychology";"American Psychological Association (APA)";"2019-05-01"
"10.1097/ju.0000000000000328";"green";"green";"0022-5347,1527-3792";"Journal of Urology";"Ovid Technologies (Wolters Kluwer Health)";"2019-10-01"
"10.3171/2019.1.jns182614";"green";"green";"0022-3085,1933-0693";"Journal of Neurosurgery";"Journal of Neurosurgery Publishing Group (JNSPG)";"2020-07-01"
"10.1097/mlr.0000000000001036";"closed";"closed";"0025-7079";"Medical Care";"Ovid Technologies (Wolters Kluwer Health)";"2019-06-01"
"10.1186/s12889-019-6897-8";"gold";"gold";"1471-2458";"BMC Public Health";"Springer Science and Business Media LLC";"2019-05-16"
"10.1038/s41386-019-0417-5";"bronze";"green";"0893-133X,1740-634X";"Neuropsychopharmacology";"Springer Science and Business Media LLC";"2019-05-18"
"10.1093/pm/pnz117";"green";"green";"1526-2375,1526-4637";"Pain Medicine";"Oxford University Press (OUP)";"2019-05-25"
"10.1016/j.psyneuen.2019.04.019";"green";"green";"0306-4530";"Psychoneuroendocrinology";"Elsevier BV";"2019-09-01"
"10.1158/1078-0432.ccr-19-0171";"closed";"closed";"1078-0432,1557-3265";"Clinical Cancer Research";"American Association for Cancer Research (AACR)";"2019-08-15"
"10.1093/ajcn/nqz035";"bronze";"green";"0002-9165";"The American Journal of Clinical Nutrition";"Elsevier BV";"2019-07-01"
"10.1016/j.jacc.2019.03.495";"bronze";"green";"0735-1097";"Journal of the American College of Cardiology";"Elsevier BV";"2019-06-01"
"10.1093/ajcn/nqz088";"bronze";"green";"0002-9165";"The American Journal of Clinical Nutrition";"Elsevier BV";"2019-09-01"
"10.1016/j.biopsych.2019.04.012";"green";"green";"0006-3223";"Biological Psychiatry";"Elsevier BV";"2019-11-01"
"10.1007/s11606-019-05065-9";"bronze";"green";"0884-8734,1525-1497";"Journal of General Internal Medicine";"Springer Science and Business Media LLC";"2019-06-11"
"10.1056/nejmoa1803396";"green";"green";"0028-4793,1533-4406";"New England Journal of Medicine";"Massachusetts Medical Society";"2019-06-13"
"10.3390/nu11061425";"gold";"gold";"2072-6643";"Nutrients";"MDPI AG";"2019-06-25"
"10.1016/j.jpeds.2019.05.049";"green";"green";"0022-3476";"The Journal of Pediatrics";"Elsevier BV";"2019-10-01"
"10.3389/fpubh.2019.00137";"gold";"gold";"2296-2565";"Frontiers in Public Health";"Frontiers Media SA";"2019-06-25"
"10.1017/s1368980019001629";"bronze";"green";"1368-9800,1475-2727";"Public Health Nutrition";"Cambridge University Press (CUP)";"2019-07-15"
"10.2147/jhc.s206979";"gold";"gold";"2253-5969";"Journal of Hepatocellular Carcinoma";"Informa UK Limited";"2019-06-01"
"10.1093/cdn/nzz068";"gold";"gold";"2475-2991";"Current Developments in Nutrition";"Elsevier BV";"2019-08-01"
"10.1016/s2213-2600(19)30200-0";"closed";"closed";"2213-2600";"The Lancet Respiratory Medicine";"Elsevier BV";"2019-11-01"
"10.1200/jco.19.00919";"green";"green";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2019-12-01"
"10.1097/hcr.0000000000000430";"green";"green";"1932-7501";"Journal of Cardiopulmonary Rehabilitation and Prevention";"Ovid Technologies (Wolters Kluwer Health)";"2019-11-01"
"10.1097/dss.0000000000002076";"green";"green";"1076-0512,1524-4725";"Dermatologic Surgery";"Ovid Technologies (Wolters Kluwer Health)";"2020-05-01"
"10.1002/gps.5196";"closed";"closed";"0885-6230,1099-1166";"International Journal of Geriatric Psychiatry";"Wiley";"2019-08-25"
"10.2105/ajph.2019.305240";"green";"green";"0090-0036,1541-0048";"American Journal of Public Health";"American Public Health Association";"2019-10-01"
"10.1177/1557988319869493";"gold";"gold";"1557-9883,1557-9891";"American Journal of Men's Health";"SAGE Publications";"2019-07-01"
"10.1089/chi.2018.0331";"bronze";"green";"2153-2168,2153-2176";"Childhood Obesity";"Mary Ann Liebert Inc";"2019-12-01"
"10.1016/j.jaad.2019.08.040";"closed";"closed";"0190-9622";"Journal of the American Academy of Dermatology";"Elsevier BV";"2019-12-01"
"10.1158/1078-0432.ccr-19-1421";"bronze";"green";"1078-0432,1557-3265";"Clinical Cancer Research";"American Association for Cancer Research (AACR)";"2019-09-19"
"10.1371/journal.pone.0221615";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2019-09-23"
"10.1016/j.lungcan.2019.09.015";"closed";"closed";"0169-5002";"Lung Cancer";"Elsevier BV";"2019-11-01"
"10.1093/cid/ciz926";"bronze";"green";"1058-4838,1537-6591";"Clinical Infectious Diseases";"Oxford University Press (OUP)";"2019-09-27"
"10.1016/s2213-2600(19)30262-0";"closed";"closed";"2213-2600";"The Lancet Respiratory Medicine";"Elsevier BV";"2020-01-01"
"10.1016/j.bbi.2019.09.023";"green";"green";"0889-1591";"Brain, Behavior, and Immunity";"Elsevier BV";"2020-01-01"
"10.1371/journal.pmed.1002891";"gold";"gold";"1549-1676";"PLOS Medicine";"Public Library of Science (PLoS)";"2019-10-04"
"10.1038/s41598-019-50926-2";"gold";"gold";"2045-2322";"Scientific Reports";"Springer Science and Business Media LLC";"2019-10-10"
"10.1002/nur.21987";"closed";"closed";"0160-6891,1098-240X";"Research in Nursing &amp; Health";"Wiley";"2019-10-14"
"10.1002/cam4.2685";"gold";"gold";"2045-7634,2045-7634";"Cancer Medicine";"Wiley";"2019-11-12"
"10.1007/s00403-019-02009-5";"green";"green";"0340-3696,1432-069X";"Archives of Dermatological Research";"Springer Science and Business Media LLC";"2019-11-13"
"10.1016/j.bbi.2019.11.014";"green";"green";"0889-1591";"Brain, Behavior, and Immunity";"Elsevier BV";"2020-02-01"
"10.1186/s40425-019-0815-6";"gold";"gold";"2051-1426";"Journal for ImmunoTherapy of Cancer";"BMJ";"2019-12-01"
"10.1002/lary.28453";"green";"green";"0023-852X,1531-4995";"The Laryngoscope";"Wiley";"2019-12-05"
"10.1007/s11481-019-09883-w";"green";"green";"1557-1890,1557-1904";"Journal of Neuroimmune Pharmacology";"Springer Science and Business Media LLC";"2019-12-09"
"10.1001/jamapsychiatry.2019.3655";"bronze";"green";"2168-622X";"JAMA Psychiatry";"American Medical Association (AMA)";"2020-03-01"
"10.1001/jama.2019.20207";"bronze";"green";"0098-7484";"JAMA";"American Medical Association (AMA)";"2020-01-14"
"10.1001/jamapsychiatry.2019.4520";"bronze";"green";"2168-622X";"JAMA Psychiatry";"American Medical Association (AMA)";"2020-05-01"
"10.1001/jamainternmed.2019.6544";"bronze";"green";"2168-6106";"JAMA Internal Medicine";"American Medical Association (AMA)";"2020-04-01"
"10.2147/copd.s207626";"gold";"gold";"1178-2005";"International Journal of Chronic Obstructive Pulmonary Disease";"Informa UK Limited";"2019-11-01"
"10.1093/pm/pnz378";"green";"green";"1526-2375,1526-4637";"Pain Medicine";"Oxford University Press (OUP)";"2020-02-05"
"10.1186/s41927-019-0107-2";"gold";"gold";"2520-1026";"BMC Rheumatology";"Springer Science and Business Media LLC";"2020-02-03"
"10.2106/jbjs.19.00563";"green";"green";"0021-9355,1535-1386";"Journal of Bone and Joint Surgery";"Ovid Technologies (Wolters Kluwer Health)";"2020-02-05"
"10.1016/j.contraception.2020.01.014";"green";"green";"0010-7824";"Contraception";"Elsevier BV";"2020-06-01"
"10.3390/nu12020405";"gold";"gold";"2072-6643";"Nutrients";"MDPI AG";"2020-02-04"
"10.1038/s41433-020-0807-2";"bronze";"green";"0950-222X,1476-5454";"Eye";"Springer Science and Business Media LLC";"2020-02-13"
"10.2196/16665";"gold";"gold";"2291-5222";"JMIR mHealth and uHealth";"JMIR Publications Inc.";"2020-03-02"
"10.1371/journal.pone.0229557";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2020-03-12"
"10.1097/aog.0000000000003756";"hybrid";"hybrid";"0029-7844";"Obstetrics &amp; Gynecology";"Ovid Technologies (Wolters Kluwer Health)";"2020-04-01"
"10.1016/j.jaci.2020.03.028";"green";"green";"0091-6749";"Journal of Allergy and Clinical Immunology";"Elsevier BV";"2020-11-01"
"10.1016/s0140-6736(20)30470-0";"hybrid";"hybrid";"0140-6736";"The Lancet";"Elsevier BV";"2020-04-01"
"10.5888/pcd17.190353";"gold";"gold";"1545-1151";"Preventing Chronic Disease";"Centers for Disease Control and Prevention (CDC)";"2020-04-30"
"10.1002/mdc3.12940";"bronze";"green";"2330-1619,2330-1619";"Movement Disorders Clinical Practice";"Wiley";"2020-04-10"
"10.1542/peds.2019-3182";"bronze";"green";"0031-4005,1098-4275";"Pediatrics";"American Academy of Pediatrics (AAP)";"2020-06-01"
"10.1111/add.15114";"green";"green";"0965-2140,1360-0443";"Addiction";"Wiley";"2020-07-05"
"10.1016/s0140-6736(20)30167-7";"green";"green";"0140-6736";"The Lancet";"Elsevier BV";"2020-05-01"
"10.1016/j.amepre.2020.03.007";"green";"green";"0749-3797";"American Journal of Preventive Medicine";"Elsevier BV";"2020-08-01"
"10.2196/16527";"gold";"gold";"2291-5222";"JMIR mHealth and uHealth";"JMIR Publications Inc.";"2020-05-26"
"10.1097/iyc.0000000000000160";"green";"green";"0896-3746";"Infants &amp; Young Children";"Ovid Technologies (Wolters Kluwer Health)";"2020-04-01"
"10.1371/journal.pone.0232197";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2020-05-29"
"10.1111/bjh.16771";"bronze";"bronze";"0007-1048,1365-2141";"British Journal of Haematology";"Wiley";"2020-06-02"
"10.1016/j.jaad.2020.06.013";"closed";"closed";"0190-9622";"Journal of the American Academy of Dermatology";"Elsevier BV";"2020-11-01"
"10.1093/ajcn/nqaa147";"bronze";"green";"0002-9165";"The American Journal of Clinical Nutrition";"Elsevier BV";"2020-09-01"
"10.1038/s41386-020-0762-4";"bronze";"green";"0893-133X,1740-634X";"Neuropsychopharmacology";"Springer Science and Business Media LLC";"2020-07-12"
"10.1016/j.pediatrneurol.2020.04.019";"hybrid";"hybrid";"0887-8994";"Pediatric Neurology";"Elsevier BV";"2020-09-01"
"10.1001/jamanetworkopen.2020.10874";"gold";"gold";"2574-3805";"JAMA Network Open";"American Medical Association (AMA)";"2020-07-17"
"10.1016/j.drugalcdep.2020.108149";"bronze";"green";"0376-8716";"Drug and Alcohol Dependence";"Elsevier BV";"2020-09-01"
"10.1371/journal.pone.0236692";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2020-07-30"
"10.1016/j.ymthe.2020.07.017";"hybrid";"hybrid";"1525-0016";"Molecular Therapy";"Elsevier BV";"2020-11-01"
"10.1016/j.xkme.2019.09.005";"gold";"gold";"2590-0595";"Kidney Medicine";"Elsevier BV";"2020-01-01"
"10.1177/1179173x20943565";"gold";"gold";"1179-173X,1179-173X";"Tobacco Use Insights";"SAGE Publications";"2020-01-01"
"10.1177/0145721720943128";"closed";"closed";"0145-7217,1554-6063";"The Diabetes Educator";"SAGE Publications";"2020-08-06"
"10.1002/hep.31520";"green";"green";"0270-9139,1527-3350";"Hepatology";"Ovid Technologies (Wolters Kluwer Health)";"2021-04-29"
"10.1007/s00192-020-04481-4";"closed";"closed";"0937-3462,1433-3023";"International Urogynecology Journal";"Springer Science and Business Media LLC";"2020-08-13"
"10.1007/s10067-020-05340-9";"closed";"closed";"0770-3198,1434-9949";"Clinical Rheumatology";"Springer Science and Business Media LLC";"2020-08-15"
"10.3389/fcvm.2020.00120";"gold";"gold";"2297-055X";"Frontiers in Cardiovascular Medicine";"Frontiers Media SA";"2020-07-31"
"10.1213/ane.0000000000004713";"green";"green";"0003-2999";"Anesthesia &amp; Analgesia";"Ovid Technologies (Wolters Kluwer Health)";"2020-03-09"
"10.1037/emo0000876";"closed";"closed";"1931-1516,1528-3542";"Emotion";"American Psychological Association (APA)";"2022-08-01"
"10.1001/jamanetworkopen.2020.9750";"gold";"gold";"2574-3805";"JAMA Network Open";"American Medical Association (AMA)";"2020-09-30"
"10.1016/j.contraception.2020.10.009";"bronze";"bronze";"0010-7824";"Contraception";"Elsevier BV";"2021-02-01"
"10.1177/1740774520971774";"green";"green";"1740-7745,1740-7753";"Clinical Trials";"SAGE Publications";"2020-11-24"
"10.1111/ajt.16262";"hybrid";"hybrid";"1600-6135";"American Journal of Transplantation";"Elsevier BV";"2021-03-01"
"10.1016/j.clml.2020.11.005";"closed";"closed";"2152-2650";"Clinical Lymphoma Myeloma and Leukemia";"Elsevier BV";"2021-04-01"
"10.1159/000509819";"gold";"gold";"2296-9381,2296-9357";"Kidney Diseases";"S. Karger AG";"2020-01-01"
"10.1007/s10803-020-04787-8";"closed";"closed";"0162-3257,1573-3432";"Journal of Autism and Developmental Disorders";"Springer Science and Business Media LLC";"2021-01-02"
"10.1186/s13054-020-03441-0";"gold";"gold";"1364-8535";"Critical Care";"Springer Science and Business Media LLC";"2021-01-06"
"10.1002/ehf2.13213";"gold";"gold";"2055-5822,2055-5822";"ESC Heart Failure";"Wiley";"2021-01-27"
"10.1136/bmjhci-2019-100076";"gold";"gold";"2632-1009";"BMJ Health &amp; Care Informatics";"BMJ";"2021-01-01"
"10.4269/ajtmh.20-0390";"bronze";"green";"0002-9637,1476-1645";"The American Journal of Tropical Medicine and Hygiene";"American Society of Tropical Medicine and Hygiene";"2021-04-07"
"10.1371/journal.pone.0246792";"gold";"gold";"1932-6203";"PLOS ONE";"Public Library of Science (PLoS)";"2021-02-18"
"10.1139/apnm-2020-0880";"closed";"closed";"1715-5312,1715-5320";"Applied Physiology, Nutrition, and Metabolism";"Canadian Science Publishing";"2021-10-01"
"10.3390/nu13030760";"gold";"gold";"2072-6643";"Nutrients";"MDPI AG";"2021-02-26"
"10.1093/ajcn/nqaa429";"bronze";"bronze";"0002-9165";"The American Journal of Clinical Nutrition";"Elsevier BV";"2021-05-01"
"10.1037/ccp0000622";"bronze";"bronze";"1939-2117,0022-006X";"Journal of Consulting and Clinical Psychology";"American Psychological Association (APA)";"2021-02-01"
"10.1093/abm/kaaa123";"hybrid";"hybrid";"0883-6612,1532-4796";"Annals of Behavioral Medicine";"Oxford University Press (OUP)";"2021-03-29"
"10.1016/j.cbpra.2019.03.001";"green";"green";"1077-7229";"Cognitive and Behavioral Practice";"Elsevier BV";"2020-02-01"
"10.1097/dcr.0000000000002007";"green";"green";"0012-3706";"Diseases of the Colon &amp; Rectum";"Ovid Technologies (Wolters Kluwer Health)";"2021-04-13"
"10.1002/cpt.2268";"green";"green";"0009-9236,1532-6535";"Clinical Pharmacology &amp; Therapeutics";"Wiley";"2021-05-16"
"10.1089/heq.2020.0152";"gold";"gold";"2473-1242";"Health Equity";"Mary Ann Liebert Inc";"2021-04-01"
"10.1016/j.jvs.2021.04.025";"bronze";"bronze";"0741-5214";"Journal of Vascular Surgery";"Elsevier BV";"2021-11-01"
"10.1007/s10578-021-01181-y";"hybrid";"hybrid";"0009-398X,1573-3327";"Child Psychiatry &amp; Human Development";"Springer Science and Business Media LLC";"2021-05-07"
"10.2196/24047";"gold";"gold";"1438-8871";"Journal of Medical Internet Research";"JMIR Publications Inc.";"2021-07-20"
"10.1007/s00280-021-04293-3";"green";"green";"0344-5704,1432-0843";"Cancer Chemotherapy and Pharmacology";"Springer Science and Business Media LLC";"2021-05-15"
"10.1210/clinem/dgab375";"bronze";"green";"0021-972X,1945-7197";"The Journal of Clinical Endocrinology &amp; Metabolism";"The Endocrine Society";"2021-05-27"
"10.1001/jamadermatol.2021.1311";"green";"green";"2168-6068";"JAMA Dermatology";"American Medical Association (AMA)";"2021-08-01"
"10.1093/tbm/ibab064";"closed";"closed";"1869-6716,1613-9860";"Translational Behavioral Medicine";"Oxford University Press (OUP)";"2021-06-21"
"10.1136/bmjgh-2021-005021";"gold";"gold";"2059-7908";"BMJ Global Health";"BMJ";"2021-06-01"
"10.1016/s2213-8587(21)00139-x";"hybrid";"hybrid";"2213-8587";"The Lancet Diabetes &amp; Endocrinology";"Elsevier BV";"2021-08-01"
"10.3390/ijerph18147682";"gold";"gold";"1660-4601";"International Journal of Environmental Research and Public Health";"MDPI AG";"2021-07-20"
"10.1016/j.xjtc.2021.01.011";"gold";"gold";"2666-2507";"JTCVS Techniques";"Elsevier BV";"2021-06-01"
"10.1093/cid/ciab097";"green";"green";"1058-4838,1537-6591";"Clinical Infectious Diseases";"Oxford University Press (OUP)";"2021-02-09"
"10.1186/s13722-021-00262-6";"gold";"gold";"1940-0640";"Addiction Science & Clinical Practice";"Springer Science and Business Media LLC";"2021-08-24"
"10.1002/jia2.25774";"green";"green";"1758-2652,1758-2652";"Journal of the International AIDS Society";"Wiley";"2021-08-01"
"10.1016/j.jadr.2021.100155";"gold";"gold";"2666-9153";"Journal of Affective Disorders Reports";"Elsevier BV";"2021-07-01"
"10.1007/s00403-021-02280-5";"hybrid";"hybrid";"1432-069X";"Archives of Dermatological Research";"Springer Science and Business Media LLC";"2021-09-21"
"10.1093/scan/nsab107";"green";"green";"1749-5016,1749-5024";"Social Cognitive and Affective Neuroscience";"Oxford University Press (OUP)";"2021-10-13"
"10.1016/j.biopha.2021.112226";"gold";"gold";"0753-3322";"Biomedicine &amp; Pharmacotherapy";"Elsevier BV";"2021-11-01"
"10.1097/coc.0000000000000868";"closed";"closed";"0277-3732";"American Journal of Clinical Oncology";"Ovid Technologies (Wolters Kluwer Health)";"2021-09-22"
"10.1159/000518297";"gold";"gold";"2235-1795,1664-5553";"Liver Cancer";"S. Karger AG";"2021-01-01"
"10.1016/j.drugalcdep.2021.109229";"hybrid";"hybrid";"0376-8716";"Drug and Alcohol Dependence";"Elsevier BV";"2022-02-01"
"10.1007/s11606-021-07232-3";"bronze";"bronze";"0884-8734,1525-1497";"Journal of General Internal Medicine";"Springer Science and Business Media LLC";"2022-01-06"
"10.1186/s12877-022-02996-7";"gold";"gold";"1471-2318";"BMC Geriatrics";"Springer Science and Business Media LLC";"2022-04-05"
"10.1016/j.freeradbiomed.2022.04.007";"closed";"closed";"0891-5849";"Free Radical Biology and Medicine";"Elsevier BV";"2022-05-01"
"10.1016/j.cpnec.2020.100011";"gold";"gold";"2666-4976";"Comprehensive Psychoneuroendocrinology";"Elsevier BV";"2020-11-01"
"10.1158/1078-0432.ccr-16-1369";"bronze";"green";"1078-0432,1557-3265";"Clinical Cancer Research";"American Association for Cancer Research (AACR)";"2017-07-13"
"10.1016/j.jvir.2021.03.097";"bronze";"bronze";"1051-0443";"Journal of Vascular and Interventional Radiology";"Elsevier BV";"2021-05-01"
"10.1016/j.ygyno.2017.07.055";"closed";"closed";"0090-8258";"Gynecologic Oncology";"Elsevier BV";"2017-10-01"
"10.1017/s0033291721004104";"hybrid";"hybrid";"0033-2917,1469-8978";"Psychological Medicine";"Cambridge University Press (CUP)";"2021-10-15"
"10.1182/blood.v128.22.2780.2780";"closed";"closed";"0006-4971,1528-0020";"Blood";"American Society of Hematology";"2016-12-02"
"10.1200/jco.2012.30.15_suppl.e14079";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2012-05-20"
"10.1200/jco.2015.33.15_suppl.2029";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2015-05-20"
"10.1200/jco.2015.33.15_suppl.529";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2015-05-20"
"10.1200/jco.2016.34.15_suppl.2063";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2016-05-20"
"10.1200/jco.2016.34.15_suppl.9075";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2016-05-20"
"10.1200/jco.2018.36.15_suppl.2557";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2018-05-20"
"10.1200/jco.2018.36.6_suppl.236";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2018-02-20"
"10.1200/jco.2014.32.15_suppl.tps3132";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2014-05-20"
"10.1200/jco.2015.33.15_suppl.9076";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2015-05-20"
"10.1200/jco.2020.38.15_suppl.3589";"closed";"closed";"0732-183X,1527-7755";"Journal of Clinical Oncology";"American Society of Clinical Oncology (ASCO)";"2020-05-20"
"10.1016/j.phanu.2016.05.002";"closed";"closed";"2213-4344";"PharmaNutrition";"Elsevier BV";"2016-07-01"
"10.1016/j.spinee.2019.05.184";"closed";"closed";"1529-9430";"The Spine Journal";"Elsevier BV";"2019-09-01"
"10.1093/ofid/ofy210.1973";"gold";"gold";"2328-8957";"Open Forum Infectious Diseases";"Oxford University Press (OUP)";"2018-11-01"
"10.1093/neuonc/nov206.18";"bronze";"green";"1522-8517,1523-5866";"Neuro-Oncology";"Oxford University Press (OUP)";"2015-11-01"
"10.1111/myc.12196";"bronze";"bronze";"0933-7407";"Mycoses";"Wiley";"2014-04-30"
"10.1016/j.jacc.2018.08.1381";"closed";"closed";"0735-1097";"Journal of the American College of Cardiology";"Elsevier BV";"2018-09-01"
"10.15406/jpcpy.2017.07.00465";"hybrid";"hybrid";"2373-6445";"Journal of Psychology &amp; Clinical Psychiatry";"MedCrave Group Kft.";"2017-06-26"
"10.1097/pcc.0000000000000612";"green";"green";"1529-7535";"Pediatric Critical Care Medicine";"Ovid Technologies (Wolters Kluwer Health)";"2016-02-01"
"10.1097/gox.0000000000000846";"gold";"gold";"2169-7574";"Plastic and Reconstructive Surgery - Global Open";"Ovid Technologies (Wolters Kluwer Health)";"2016-08-01"
"10.1007/s11060-015-1795-0";"hybrid";"hybrid";"0167-594X,1573-7373";"Journal of Neuro-Oncology";"Springer Science and Business Media LLC";"2015-05-03"
"10.1111/ner.12376";"hybrid";"hybrid";"1094-7159";"Neuromodulation: Technology at the Neural Interface";"Elsevier BV";"2016-02-01"
"10.1016/j.jclinane.2017.03.015";"closed";"closed";"0952-8180";"Journal of Clinical Anesthesia";"Elsevier BV";"2017-06-01"
"10.1213/ane.0000000000001658";"green";"green";"0003-2999";"Anesthesia &amp; Analgesia";"Ovid Technologies (Wolters Kluwer Health)";"2017-03-01"
"10.1111/ajad.12346";"bronze";"green";"1055-0496";"The American Journal on Addictions";"Wiley";"2016-02-19"
"10.3109/10428194.2015.1091930";"closed";"closed";"1042-8194,1029-2403";"Leukemia &amp; Lymphoma";"Informa UK Limited";"2015-10-13"
"10.1055/s-0037-1604074";"gold";"gold";"2378-5128,2378-5136";"The Surgery Journal";"Georg Thieme Verlag KG";"2017-07-01"
"10.1037/tra0000092";"closed";"closed";"1942-969X,1942-9681";"Psychological Trauma: Theory, Research, Practice, and Policy";"American Psychological Association (APA)";"2016-05-01"
"10.1177/2036361318771771";"gold";"gold";"2036-3613,2036-3613";"Rare Tumors";"SAGE Publications";"2018-01-01"
"10.1016/j.ophtha.2019.05.032";"green";"green";"0161-6420";"Ophthalmology";"Elsevier BV";"2019-11-01"
"10.4088/jcp.16cr11234";"bronze";"green";"0160-6689";"The Journal of Clinical Psychiatry";"Physicians Postgraduate Press, Inc";"2017-04-26"
"10.1016/j.ctarc.2020.100174";"gold";"gold";"2468-2942";"Cancer Treatment and Research Communications";"Elsevier BV";"2020-01-01"
"10.1016/j.clgc.2016.03.011";"green";"green";"1558-7673";"Clinical Genitourinary Cancer";"Elsevier BV";"2016-10-01"
"10.1111/1471-0528.14900";"bronze";"bronze";"1470-0328";"BJOG: An International Journal of Obstetrics &amp; Gynaecology";"Wiley";"2017-09-27"
"10.1097/mao.0000000000001691";"green";"green";"1531-7129,1537-4505";"Otology &amp; Neurotology";"Ovid Technologies (Wolters Kluwer Health)";"2018-03-01"
"10.1002/jso.23745";"closed";"closed";"0022-4790";"Journal of Surgical Oncology";"Wiley";"2014-08-13"
"10.1007/s11307-017-1084-8";"green";"green";"1536-1632,1860-2002";"Molecular Imaging and Biology";"Springer Science and Business Media LLC";"2017-04-14"
"10.1016/j.healun.2017.01.1450";"closed";"closed";"1053-2498";"The Journal of Heart and Lung Transplantation";"Elsevier BV";"2017-04-01"
"10.1038/ajg.2017.399";"closed";"closed";"0002-9270";"American Journal of Gastroenterology";"Ovid Technologies (Wolters Kluwer Health)";"2017-12-01"
"10.1055/s-0035-1563715";"closed";"closed";"0735-1631,1098-8785";"American Journal of Perinatology";"Georg Thieme Verlag KG";"2015-09-07"
"10.1681/asn.2016101053";"bronze";"green";"1046-6673,1533-3450";"Journal of the American Society of Nephrology";"Ovid Technologies (Wolters Kluwer Health)";"2017-01-12"
"10.1055/s-0037-1617428";"closed";"closed";"0735-1631,1098-8785";"American Journal of Perinatology";"Georg Thieme Verlag KG";"2018-01-03"
"10.1007/s11999-015-4364-0";"bronze";"green";"0009-921X";"Clinical Orthopaedics &amp; Related Research";"Ovid Technologies (Wolters Kluwer Health)";"2016-03-01"
"10.1016/j.jsams.2019.07.015";"hybrid";"hybrid";"1440-2440";"Journal of Science and Medicine in Sport";"Elsevier BV";"2019-12-01"
"10.1007/s11060-018-2854-0";"hybrid";"hybrid";"0167-594X,1573-7373";"Journal of Neuro-Oncology";"Springer Science and Business Media LLC";"2018-04-06"
"10.1093/ibd/izx035";"bronze";"bronze";"1078-0998,1536-4844";"Inflammatory Bowel Diseases";"Oxford University Press (OUP)";"2018-01-18"
"10.1111/tmi.12902";"bronze";"bronze";"1360-2276";"Tropical Medicine &amp; International Health";"Wiley";"2017-06-29"
"10.1093/sleep/zsaa070";"bronze";"green";"0161-8105,1550-9109";"Sleep";"Oxford University Press (OUP)";"2020-04-10"
"10.1177/1129729819887269";"green";"green";"1129-7298,1724-6032";"The Journal of Vascular Access";"SAGE Publications";"2019-11-27"
"10.1245/s10434-018-6453-2";"green";"green";"1068-9265,1534-4681";"Annals of Surgical Oncology";"Springer Science and Business Media LLC";"2018-04-17"
"10.1016/j.ebcr.2018.03.004";"gold";"gold";"2213-3232";"Epilepsy &amp; Behavior Case Reports";"Elsevier BV";"2018-01-01"
"10.1016/j.jagp.2018.12.018";"closed";"closed";"1064-7481";"The American Journal of Geriatric Psychiatry";"Elsevier BV";"2019-05-01"
"10.1126/scitranslmed.aau7356";"bronze";"green";"1946-6234,1946-6242";"Science Translational Medicine";"American Association for the Advancement of Science (AAAS)";"2019-05-08"
"10.1097/gme.0000000000000700";"closed";"closed";"1072-3714,1530-0374";"Menopause";"Ovid Technologies (Wolters Kluwer Health)";"2016-10-01"
"10.1016/j.contraception.2016.04.001";"hybrid";"hybrid";"0010-7824";"Contraception";"Elsevier BV";"2016-08-01"
"10.1016/j.jpeds.2015.06.015";"closed";"closed";"0022-3476";"The Journal of Pediatrics";"Elsevier BV";"2015-09-01"
"10.1016/j.ijrobp.2014.06.006";"green";"green";"0360-3016";"International Journal of Radiation Oncology*Biology*Physics";"Elsevier BV";"2014-10-01"
"10.1177/1524839915571633";"closed";"closed";"1524-8399,1552-6372";"Health Promotion Practice";"SAGE Publications";"2015-02-17"
"10.3389/fped.2015.00074";"gold";"gold";"2296-2360";"Frontiers in Pediatrics";"Frontiers Media SA";"2015-09-10"
"10.1109/tnsre.2007.903969";"closed";"closed";"1534-4320,1558-0210";"IEEE Transactions on Neural Systems and Rehabilitation Engineering";"Institute of Electrical and Electronics Engineers (IEEE)";"2007-09-01"
